,Neurons,Astrocytes,Oligodendrocytes,Microglia,Endothelia
ENSG00000189046,2.340413759,6.491792139,5.013578492,2.316868043,2.400601095
ENSG00000166199,8.088046826,7.09677464,6.514772473,4.922422453,9.073587745
ENSG00000091542,10.2908074,11.59821786,15.41901212,8.809914284,13.95680542
ENSG00000137760,5.286714998,1.730662492,3.822901944,3.072701172,5.402572234
ENSG00000116127,4.686976607,5.180779982,7.502125224,5.144799643,4.29153051
ENSG00000136383,0.268352094,0.479318879,0.38574646,6.336202965,1.738424055
ENSG00000162551,1.065862773,1.246476146,0.663409172,1.298890642,27.98397169
ENSG00000003393,8.721203983,5.156554254,5.597187155,4.326022999,4.557630441
ENSG00000155754,1.147791617,3.353346822,3.245737002,1.098516893,1.276764405
ENSG00000155749,4.058634925,6.74011784,1.422567781,4.612398888,1.484240347
ENSG00000110497,8.651830437,7.731063376,13.543982,10.96669528,15.63763642
ENSG00000123505,30.13166322,16.32006673,79.1096053,29.88346236,31.13758094
ENSG00000159461,8.770607269,9.687686835,11.42503838,9.182332622,11.30515159
ENSG00000181754,5.0047772,2.54181807,1.111038573,1.524898666,1.928346944
ENSG00000144233,2.63207561,3.345700161,4.896403644,4.877563144,3.140240774
ENSG00000151743,30.57126627,18.04837014,32.12474655,20.60499243,12.16090567
ENSG00000126016,0.973459449,14.48477375,1.504075202,3.844177118,2.788613164
ENSG00000166025,2.944130213,1.951736197,1.057225169,4.731757026,10.42952002
ENSG00000116337,7.338140911,5.742026948,3.211480336,5.378811763,2.974611602
ENSG00000133805,1.00944937,1.827924041,8.602577518,9.666299255,1.188839269
ENSG00000078053,34.47413552,6.713830438,6.592946907,8.592275879,4.789595823
ENSG00000145020,2.959734098,8.514076595,2.901521317,6.311308231,2.353256979
ENSG00000240038,12.99951602,18.55077554,9.541930397,10.15450063,4.940789822
ENSG00000153107,2.765605776,3.740063773,3.793799605,3.934325242,3.621218837
ENSG00000164162,10.86952297,10.31064183,12.46935128,8.06736289,10.49013427
ENSG00000141552,8.88189019,8.935330174,9.604676846,5.707127538,15.1530496
ENSG00000129055,26.24377133,17.53388725,15.36838798,9.729139932,14.74738151
ENSG00000166295,14.43069777,18.61304057,21.24996087,29.16693954,21.47893477
ENSG00000053900,11.09475367,9.699749448,10.99040876,6.580710683,5.7389262
ENSG00000089053,14.17894141,10.5089723,32.75078724,10.81546732,12.52897589
ENSG00000196510,14.56642064,8.226547183,9.068052358,6.8572519,7.625722916
ENSG00000013523,4.27125907,7.226585567,8.222740976,7.083019604,4.341138865
ENSG00000174606,5.536606206,5.694903395,7.927412118,10.99543778,8.971583411
ENSG00000154188,1.504431587,3.123140574,1.133063257,0.694366314,4.044765916
ENSG00000091879,1.97071616,1.5116558,2.660463095,2.895231664,20.79916997
ENSG00000116194,6.224180965,6.857287278,2.203298108,5.682237008,7.219880403
ENSG00000167772,0.283338091,80.9644941,1.367051275,3.498984426,14.59632374
ENSG00000029534,3.136737314,0.323768334,0.633284265,2.533909888,1.80661035
ENSG00000145362,58.99905866,70.71190959,57.02283347,18.26699291,11.63734657
ENSG00000151150,34.39931781,5.006865678,59.58718791,10.78020708,4.996406878
ENSG00000151687,7.02317986,17.35800745,9.889974785,8.473663721,7.987920996
ENSG00000166839,4.376306482,49.88948962,3.10724,5.997833546,2.609575979
ENSG00000153930,2.33381786,14.24290245,0.780062652,1.760520274,0.923670869
ENSG00000185722,4.702349375,8.576449194,6.574585541,7.941241177,3.514489146
ENSG00000154122,14.3841145,6.638161106,14.74482995,13.0804527,11.55556573
ENSG00000001629,21.07548856,19.07833365,57.74669119,18.3674117,16.17512069
ENSG00000176915,2.332760637,2.894569092,3.499290728,6.352666635,3.865194577
ENSG00000106524,18.47411371,13.40359942,10.46181163,7.153289704,5.713619994
ENSG00000164331,11.74043817,15.92899727,18.95178436,25.10437819,17.57695525
ENSG00000088448,38.89013129,45.3403155,42.91337574,76.81367328,36.90285512
ENSG00000167522,7.493699472,7.590557374,8.236882485,13.94962742,9.022543449
ENSG00000101745,30.47281159,28.13309312,31.62755973,21.12531454,30.24241522
ENSG00000076513,4.232721413,2.845639213,13.04051031,10.8644988,7.012237404
ENSG00000118454,21.58733999,12.18890419,17.96240804,21.12906742,13.47149345
ENSG00000132466,25.52769423,23.11520536,25.10069054,32.29019679,28.63040705
ENSG00000180071,2.978011913,0.58953646,12.22166448,0.968308991,0.758567308
ENSG00000172014,2.860100073,1.747488498,1.250446002,1.93765292,1.476024029
ENSG00000107890,39.54844433,39.14972652,10.88183863,10.12822477,10.62610425
ENSG00000105186,3.857739017,5.808980732,3.08734971,4.288333209,6.894223196
ENSG00000206560,12.91614358,7.308029654,23.62392563,5.701922303,10.46237012
ENSG00000154065,4.698643264,8.610520119,1.145550958,1.872628441,24.06190786
ENSG00000180777,7.487257217,1.123042957,1.324219227,2.438406127,1.260351277
ENSG00000163046,25.66465909,5.508837751,6.06888439,10.48547475,3.385536045
ENSG00000135976,32.02343941,14.82589772,18.96000819,10.61453773,10.3249617
ENSG00000186352,3.014201389,3.580737776,3.294196853,4.046662423,76.54974423
ENSG00000154945,11.84100992,25.04480688,45.61766824,12.72247688,24.05868429
ENSG00000137494,3.59788524,1.656475531,1.739584606,2.311549111,3.860062858
ENSG00000065413,6.695753898,11.12077587,23.65364044,88.68357435,18.12206777
ENSG00000186106,17.27884729,7.812248549,9.44192184,5.154583556,6.010858628
ENSG00000168876,9.565488184,6.406101137,7.545323756,11.77501107,5.448060741
ENSG00000151458,7.346136934,1.804131382,2.854383417,5.03138611,6.119739603
ENSG00000139645,1.930137538,2.719218943,1.868378016,3.476024617,3.390326727
ENSG00000100124,5.530404071,4.575667261,3.578834304,3.944215278,2.097982901
ENSG00000164512,10.46938849,2.097277331,2.018798134,3.136724202,1.494657783
ENSG00000135299,5.27910703,4.181582589,2.597620396,3.525490707,5.988734731
ENSG00000235098,1.70635756,4.014835901,11.94056365,3.432799272,2.826626772
ENSG00000106013,7.546290326,2.364018736,3.6680088,9.188599132,1.88898255
ENSG00000064999,12.30852837,8.853107517,7.823846624,26.88099485,36.21819523
ENSG00000185046,96.2306883,26.44901963,82.84674328,36.1488116,20.21760651
ENSG00000163516,7.164505288,8.831056363,7.477664507,5.813325437,7.060756929
ENSG00000011426,1.968242914,1.905238733,97.50598996,7.273453922,8.387010985
ENSG00000160746,11.38692776,11.36120512,8.353201805,13.17885489,20.84336706
ENSG00000134343,16.08996178,2.377646363,4.462647977,7.136746713,7.955256927
ENSG00000171714,25.44651819,19.69326203,5.044441857,5.097169851,6.041529321
ENSG00000177119,1.911208271,9.004222031,1.821525469,9.026750496,15.17173825
ENSG00000140350,11.46800889,7.868523435,16.24320806,16.5879087,10.46492207
ENSG00000136938,5.214621065,10.88263154,31.54126623,24.49653566,22.43368435
ENSG00000169604,2.855602499,14.34785918,3.012979533,8.48614623,6.634475435
ENSG00000135046,2.122706991,0.774973153,0.63507374,6.920409182,79.0086494
ENSG00000122359,2.645170123,3.43409082,1.210664007,8.115900417,9.301310636
ENSG00000196975,1.453380128,7.012387904,9.17104968,12.58972859,5.220914612
ENSG00000164111,7.670381699,33.62844503,47.64426747,103.7506529,69.874279
ENSG00000197043,10.91546964,6.930957195,4.170043592,6.226757134,10.45015594
ENSG00000138279,41.51348173,32.3272197,35.99799224,34.28901068,49.6696346
ENSG00000136250,1.887195203,1.998296002,7.487332207,113.9501286,4.8998454
ENSG00000138660,5.868254518,2.881967686,5.629080209,4.317053145,6.649742999
ENSG00000100280,4.607307147,7.991526681,4.223784358,34.85716545,6.755969024
ENSG00000166747,11.34480542,11.32131172,12.30272363,18.4984763,9.745633813
ENSG00000213983,11.24629347,4.391629351,3.581821379,8.179628637,3.661263808
ENSG00000106367,26.46105754,12.74209971,16.04079973,19.57787081,22.45369414
ENSG00000182287,33.52298622,8.377704435,13.8574809,12.58710414,17.39388779
